team_id,team_name,color,team_logo_filename,stat_name,stat_display_name,stat_desc,stat_value,stat_rank,categories,stat_rank_display,color_hex,team_rank
14,Seattle Storm,2c5235,www/team/14.png,points,Points,The number of points scored.,3329,5,Offensive,5th,#2c5235,5
14,Seattle Storm,2c5235,www/team/14.png,avgPoints,Points Per Game,The average number of points scored per game.,83.225,,Offensive,,#2c5235,5
16,Washington Mystics,e03a3e,www/team/16.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",137,11,Defensive,11th,#e03a3e,9
16,Washington Mystics,e03a3e,www/team/16.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,291,6,Defensive,6th,#e03a3e,9
16,Washington Mystics,e03a3e,www/team/16.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1274,21,General,21st,#e03a3e,9
16,Washington Mystics,e03a3e,www/team/16.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,43.305,9,Offensive,9th,#e03a3e,9
16,Washington Mystics,e03a3e,www/team/16.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,76.705,9,Offensive,9th,#e03a3e,9
16,Washington Mystics,e03a3e,www/team/16.png,points,Points,The number of points scored.,3172,9,Offensive,9th,#e03a3e,9
16,Washington Mystics,e03a3e,www/team/16.png,avgPoints,Points Per Game,The average number of points scored per game.,79.3,,Offensive,,#e03a3e,9
17,Las Vegas Aces,a7a8aa,www/team/17.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",198,2,Defensive,2nd,#a7a8aa,1
17,Las Vegas Aces,a7a8aa,www/team/17.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,282,9,Defensive,9th,#a7a8aa,1
17,Las Vegas Aces,a7a8aa,www/team/17.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1364,13,General,13th,#a7a8aa,1
17,Las Vegas Aces,a7a8aa,www/team/17.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,44.86,2,Offensive,2nd,#a7a8aa,1
17,Las Vegas Aces,a7a8aa,www/team/17.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,82.81,2,Offensive,2nd,#a7a8aa,1
17,Las Vegas Aces,a7a8aa,www/team/17.png,points,Points,The number of points scored.,3455,1,Offensive,1st,#a7a8aa,1
17,Las Vegas Aces,a7a8aa,www/team/17.png,avgPoints,Points Per Game,The average number of points scored per game.,86.375,,Offensive,,#a7a8aa,1
18,Connecticut Sun,f05023,www/team/18.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",146,10,Defensive,10th,#f05023,8
18,Connecticut Sun,f05023,www/team/18.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,326,3,Defensive,3rd,#f05023,8
18,Connecticut Sun,f05023,www/team/18.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1338,16,General,16th,#f05023,8
18,Connecticut Sun,f05023,www/team/18.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,43.671,7,Offensive,7th,#f05023,8
18,Connecticut Sun,f05023,www/team/18.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,75.329,11,Offensive,11th,#f05023,8
18,Connecticut Sun,f05023,www/team/18.png,points,Points,The number of points scored.,3204,8,Offensive,8th,#f05023,8
18,Connecticut Sun,f05023,www/team/18.png,avgPoints,Points Per Game,The average number of points scored per game.,80.1,,Offensive,,#f05023,8
19,Chicago Sky,5091cd,www/team/19.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",151,8,Defensive,8th,#5091cd,11
19,Chicago Sky,5091cd,www/team/19.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,280,10,Defensive,10th,#5091cd,11
19,Chicago Sky,5091cd,www/team/19.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1464,8,General,8th,#5091cd,11
19,Chicago Sky,5091cd,www/team/19.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,42.232,11,Offensive,11th,#5091cd,11
19,Chicago Sky,5091cd,www/team/19.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,74.225,12,Offensive,12th,#5091cd,11
19,Chicago Sky,5091cd,www/team/19.png,points,Points,The number of points scored.,3096,11,Offensive,11th,#5091cd,11
19,Chicago Sky,5091cd,www/team/19.png,avgPoints,Points Per Game,The average number of points scored per game.,77.4,,Offensive,,#5091cd,11
20,Atlanta Dream,e31837,www/team/20.png,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",148,9,Defensive,9th,#e31837,12
20,Atlanta Dream,e31837,www/team/20.png,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,288,7,Defensive,7th,#e31837,12
20,Atlanta Dream,e31837,www/team/20.png,totalRebounds,Rebounds,The total number of rebounds for a team or player,1444,6,General,6th,#e31837,12
20,Atlanta Dream,e31837,www/team/20.png,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,40.837,12,Offensive,12th,#e31837,12
20,Atlanta Dream,e31837,www/team/20.png,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,77.222,8,Offensive,8th,#e31837,12
20,Atlanta Dream,e31837,www/team/20.png,points,Points,The number of points scored.,3080,12,Offensive,12th,#e31837,12
20,Atlanta Dream,e31837,www/team/20.png,avgPoints,Points Per Game,The average number of points scored per game.,77,,Offensive,,#e31837,12
